group,user,kc,competency
4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,GMD.4,0.7627246632250888
4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,CO.5,0.79522967912246
4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,CO.6,0.7959438948285219
4fe25833f555e9903d2bb6bbeec3fbfb,0157bc278747755031338f18c5ba4233,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,GMD.4,0.6348252314268866
4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,CO.5,0.6451071372243483
4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,CO.6,0.6413872132274567
4fe25833f555e9903d2bb6bbeec3fbfb,0760db831ec82e0c4b3349f6045d9669,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,GMD.4,0.5200310630647934
4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,CO.5,0.5103669581062151
4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,CO.6,0.5026672402005827
4fe25833f555e9903d2bb6bbeec3fbfb,0b608ca6b3e7c2e5f31d7118cdc95a9b,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,GMD.4,0.6513508300817858
4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,CO.5,0.6645041340802512
4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,CO.6,0.6613571353268929
4fe25833f555e9903d2bb6bbeec3fbfb,12c016759e353d0bc14d1bccacba192c,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,GMD.4,0.7041168817219821
4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,CO.5,0.7264385280551322
4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,CO.6,0.725120873195303
4fe25833f555e9903d2bb6bbeec3fbfb,12e1e72e84bf81d1bb70ceaaff147ee1,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,GMD.4,0.6057777620508662
4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,CO.5,0.6110125374507077
4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,CO.6,0.6062855680321151
4fe25833f555e9903d2bb6bbeec3fbfb,1f29e9843acc97006c607d1d50465a1d,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,GMD.4,0.7619150201286677
4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,CO.5,0.7959555925287652
4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,CO.6,0.794965503067865
4fe25833f555e9903d2bb6bbeec3fbfb,2085341eede3ffb7e2ffc72bbf0ae02b,MG.1,0.8120243422703637
4fe25833f555e9903d2bb6bbeec3fbfb,24484165b531c64c3151df9e29945731,GMD.4,0.5522805026560783
4fe25833f555e9903d2bb6bbeec3fbfb,24484165b531c64c3151df9e29945731,CO.5,0.5482198850361168
4fe25833f555e9903d2bb6bbeec3fbfb,24484165b531c64c3151df9e29945731,CO.6,0.5416382215149271
4fe25833f555e9903d2bb6bbeec3fbfb,24484165b531c64c3151df9e29945731,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,2a772f5859b0bf6156f07f1412f2043a,GMD.4,0.4885773831461413
4fe25833f555e9903d2bb6bbeec3fbfb,2a772f5859b0bf6156f07f1412f2043a,CO.5,0.4734480577244855
4fe25833f555e9903d2bb6bbeec3fbfb,2a772f5859b0bf6156f07f1412f2043a,CO.6,0.4646578735910488
4fe25833f555e9903d2bb6bbeec3fbfb,2a772f5859b0bf6156f07f1412f2043a,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,GMD.4,0.5866689960071992
4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,CO.5,0.5885835360808054
4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,CO.6,0.583194085703561
4fe25833f555e9903d2bb6bbeec3fbfb,2b2396af4cbf91224f099e909c6068f7,MG.1,0.31714578035913765
4fe25833f555e9903d2bb6bbeec3fbfb,2d3db94690a19a62a0942fbd6ac30308,GMD.4,0.41958590887780317
4fe25833f555e9903d2bb6bbeec3fbfb,2d3db94690a19a62a0942fbd6ac30308,CO.5,0.39246899987532735
4fe25833f555e9903d2bb6bbeec3fbfb,2d3db94690a19a62a0942fbd6ac30308,CO.6,0.38128695339412655
4fe25833f555e9903d2bb6bbeec3fbfb,2d3db94690a19a62a0942fbd6ac30308,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,302f89f8db8438ebfaf8ab4fd1d267f2,GMD.4,0.5001134667190824
4fe25833f555e9903d2bb6bbeec3fbfb,302f89f8db8438ebfaf8ab4fd1d267f2,CO.5,0.48698858847720544
4fe25833f555e9903d2bb6bbeec3fbfb,302f89f8db8438ebfaf8ab4fd1d267f2,CO.6,0.4785983483112141
4fe25833f555e9903d2bb6bbeec3fbfb,302f89f8db8438ebfaf8ab4fd1d267f2,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,33619c0e26fd218fbe79c78b631b7843,GMD.4,0.5597209673751686
4fe25833f555e9903d2bb6bbeec3fbfb,33619c0e26fd218fbe79c78b631b7843,CO.5,0.5569531644637798
4fe25833f555e9903d2bb6bbeec3fbfb,33619c0e26fd218fbe79c78b631b7843,CO.6,0.5506294540824556
4fe25833f555e9903d2bb6bbeec3fbfb,33619c0e26fd218fbe79c78b631b7843,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,3ea797888d868011497d6e0e56206f3b,GMD.4,0.46286958139332984
4fe25833f555e9903d2bb6bbeec3fbfb,3ea797888d868011497d6e0e56206f3b,CO.5,0.4432734080682309
4fe25833f555e9903d2bb6bbeec3fbfb,3ea797888d868011497d6e0e56206f3b,CO.6,0.4335919613011364
4fe25833f555e9903d2bb6bbeec3fbfb,3ea797888d868011497d6e0e56206f3b,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,40d788246ddbc125d1488077d7711321,GMD.4,0.41362376699055875
4fe25833f555e9903d2bb6bbeec3fbfb,40d788246ddbc125d1488077d7711321,CO.5,0.38547090861967154
4fe25833f555e9903d2bb6bbeec3fbfb,40d788246ddbc125d1488077d7711321,CO.6,0.37408216090700186
4fe25833f555e9903d2bb6bbeec3fbfb,40d788246ddbc125d1488077d7711321,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,4e46303a1a86e794ec6f495f04a1d95b,GMD.4,0.4631583230636845
4fe25833f555e9903d2bb6bbeec3fbfb,4e46303a1a86e794ec6f495f04a1d95b,CO.5,0.4436123199218342
4fe25833f555e9903d2bb6bbeec3fbfb,4e46303a1a86e794ec6f495f04a1d95b,CO.6,0.43394088352684557
4fe25833f555e9903d2bb6bbeec3fbfb,4e46303a1a86e794ec6f495f04a1d95b,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,516f1d9200914db303f76bbefbeff1ad,GMD.4,0.6351755861098929
4fe25833f555e9903d2bb6bbeec3fbfb,516f1d9200914db303f76bbefbeff1ad,CO.5,0.6455183676327975
4fe25833f555e9903d2bb6bbeec3fbfb,516f1d9200914db303f76bbefbeff1ad,CO.6,0.6418105900668024
4fe25833f555e9903d2bb6bbeec3fbfb,516f1d9200914db303f76bbefbeff1ad,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,5d9c68c6c50ed3d02a2fcf54f63993b6,GMD.4,0.22151781787943162
4fe25833f555e9903d2bb6bbeec3fbfb,5d9c68c6c50ed3d02a2fcf54f63993b6,CO.5,0.2364513173449156
4fe25833f555e9903d2bb6bbeec3fbfb,5d9c68c6c50ed3d02a2fcf54f63993b6,CO.6,0.22066100756278814
4fe25833f555e9903d2bb6bbeec3fbfb,5d9c68c6c50ed3d02a2fcf54f63993b6,MG.1,0.38090768735359315
4fe25833f555e9903d2bb6bbeec3fbfb,66e12afc561f043a0ff56910f2b166d0,GMD.4,0.6688645095568871
4fe25833f555e9903d2bb6bbeec3fbfb,66e12afc561f043a0ff56910f2b166d0,CO.5,0.6850608953091775
4fe25833f555e9903d2bb6bbeec3fbfb,66e12afc561f043a0ff56910f2b166d0,CO.6,0.6825210775292879
4fe25833f555e9903d2bb6bbeec3fbfb,66e12afc561f043a0ff56910f2b166d0,MG.1,0.3169021627193471
4fe25833f555e9903d2bb6bbeec3fbfb,6b0db803ea472a64d60982fc9820ec6d,GMD.4,0.4210503966626147
4fe25833f555e9903d2bb6bbeec3fbfb,6b0db803ea472a64d60982fc9820ec6d,CO.5,0.3941879490977251
4fe25833f555e9903d2bb6bbeec3fbfb,6b0db803ea472a64d60982fc9820ec6d,CO.6,0.3830566748782915
4fe25833f555e9903d2bb6bbeec3fbfb,6b0db803ea472a64d60982fc9820ec6d,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,6f92f9126b33790d7fef01f949d8334b,GMD.4,0.4700165321211165
4fe25833f555e9903d2bb6bbeec3fbfb,6f92f9126b33790d7fef01f949d8334b,CO.5,0.4516621741087925
4fe25833f555e9903d2bb6bbeec3fbfb,6f92f9126b33790d7fef01f949d8334b,CO.6,0.44222850465807534
4fe25833f555e9903d2bb6bbeec3fbfb,6f92f9126b33790d7fef01f949d8334b,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,781ddfc1403d3625fe99f9cb5986f096,GMD.4,0.4371051375185813
4fe25833f555e9903d2bb6bbeec3fbfb,781ddfc1403d3625fe99f9cb5986f096,CO.5,0.4130322744627972
4fe25833f555e9903d2bb6bbeec3fbfb,781ddfc1403d3625fe99f9cb5986f096,CO.6,0.402457601338843
4fe25833f555e9903d2bb6bbeec3fbfb,781ddfc1403d3625fe99f9cb5986f096,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,85e2dbc0501c15f84b17a1fd7364467d,GMD.4,0.3647743769051359
4fe25833f555e9903d2bb6bbeec3fbfb,85e2dbc0501c15f84b17a1fd7364467d,CO.5,0.3281337140231654
4fe25833f555e9903d2bb6bbeec3fbfb,85e2dbc0501c15f84b17a1fd7364467d,CO.6,0.3150514089819174
4fe25833f555e9903d2bb6bbeec3fbfb,85e2dbc0501c15f84b17a1fd7364467d,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,96ddabca419f7153f2c0ed0cba63a9e4,GMD.4,0.42613333276798726
4fe25833f555e9903d2bb6bbeec3fbfb,96ddabca419f7153f2c0ed0cba63a9e4,CO.5,0.40015406855358143
4fe25833f555e9903d2bb6bbeec3fbfb,96ddabca419f7153f2c0ed0cba63a9e4,CO.6,0.3891990144195347
4fe25833f555e9903d2bb6bbeec3fbfb,96ddabca419f7153f2c0ed0cba63a9e4,MG.1,0.5321201991748258
4fe25833f555e9903d2bb6bbeec3fbfb,9ebecebccf7f8b60313c913a80f70f47,GMD.4,0.6573693081886149
4fe25833f555e9903d2bb6bbeec3fbfb,9ebecebccf7f8b60313c913a80f70f47,CO.5,0.6715683502308033
