group,task_id,difficulty
4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,0.19558292311821188
4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,0.0
4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,0.35010224340670726
4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,0.24114773889730048
4fe25833f555e9903d2bb6bbeec3fbfb,5. Removing Objects,0.6905578156014904
4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,0.21609877176813028
4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,0.2794585623068993
4fe25833f555e9903d2bb6bbeec3fbfb,8. Combine 2 Ramps,0.4019050076014384
4fe25833f555e9903d2bb6bbeec3fbfb,9. Scaling Round Objects,0.543784250531565
4fe25833f555e9903d2bb6bbeec3fbfb,Square Cross-Sections,0.6690710679366808
4fe25833f555e9903d2bb6bbeec3fbfb,45-Degree Rotations,0.7262391431057712
4fe25833f555e9903d2bb6bbeec3fbfb,Bird Fez,0.9932956157902739
4fe25833f555e9903d2bb6bbeec3fbfb,Boxes Obscure Spheres,1.0
4fe25833f555e9903d2bb6bbeec3fbfb,Pi Henge,0.5559046138196457
4fe25833f555e9903d2bb6bbeec3fbfb,Pyramids are Strange,0.42699712256562106
4fe25833f555e9903d2bb6bbeec3fbfb,Bear Market,0.9764110173343675
4fe25833f555e9903d2bb6bbeec3fbfb,Warm Up,0.826712613344459
4fe25833f555e9903d2bb6bbeec3fbfb,Bull Market,0.8242005375952152
4fe25833f555e9903d2bb6bbeec3fbfb,Few Clues,0.8187126651331521
4fe25833f555e9903d2bb6bbeec3fbfb,More Than Meets Your Eye,0.8114663435191808
4fe25833f555e9903d2bb6bbeec3fbfb,Not Bird,0.8040032043737678
4fe25833f555e9903d2bb6bbeec3fbfb,Orange Dance,0.7990035363625129
4fe25833f555e9903d2bb6bbeec3fbfb,Zzz,0.8970408385462318
4fe25833f555e9903d2bb6bbeec3fbfb,Angled Silhouette,0.8266983200144767
4fe25833f555e9903d2bb6bbeec3fbfb,Sugar Cones,0.8502803342062975
4fe25833f555e9903d2bb6bbeec3fbfb,Object Limits,0.6585033848985922
4fe25833f555e9903d2bb6bbeec3fbfb,Ramp Up and Can It,0.6585033848985922
4fe25833f555e9903d2bb6bbeec3fbfb,Stranger Shapes,0.6585033848985922
4fe25833f555e9903d2bb6bbeec3fbfb,Tall and Small,0.6585033848985922
4fe25833f555e9903d2bb6bbeec3fbfb,Unnecessary,0.6585033848985922
4fe25833f555e9903d2bb6bbeec3fbfb,Tetromino,0.6585033848985922
7a01ab37bd2729626dcaf96166390315,1. One Box,0.7010845723473359
7a01ab37bd2729626dcaf96166390315,2. Separated Boxes,0.7730356792899588
7a01ab37bd2729626dcaf96166390315,3. Rotate a Pyramid,0.6063469095214038
7a01ab37bd2729626dcaf96166390315,4. Match Silhouettes,0.7231479494532247
7a01ab37bd2729626dcaf96166390315,5. Removing Objects,0.3886180760372667
7a01ab37bd2729626dcaf96166390315,6. Stretch a Ramp,0.6815529815310643
7a01ab37bd2729626dcaf96166390315,7. Max 2 Boxes,0.6439055041248617
7a01ab37bd2729626dcaf96166390315,8. Combine 2 Ramps,0.5577686845675441
7a01ab37bd2729626dcaf96166390315,9. Scaling Round Objects,0.48155144793700144
7a01ab37bd2729626dcaf96166390315,Square Cross-Sections,0.40325771366100016
7a01ab37bd2729626dcaf96166390315,45-Degree Rotations,0.24317303901259985
7a01ab37bd2729626dcaf96166390315,Bird Fez,0.0
7a01ab37bd2729626dcaf96166390315,Boxes Obscure Spheres,0.11368569079978659
7a01ab37bd2729626dcaf96166390315,Pi Henge,0.37746718539759244
7a01ab37bd2729626dcaf96166390315,Pyramids are Strange,0.6284657351089268
7a01ab37bd2729626dcaf96166390315,Bear Market,1.0
7a01ab37bd2729626dcaf96166390315,Warm Up,0.1449531743165257
7a01ab37bd2729626dcaf96166390315,Bull Market,0.8501843152841405
7a01ab37bd2729626dcaf96166390315,Few Clues,0.6834138768141392
7a01ab37bd2729626dcaf96166390315,More Than Meets Your Eye,0.4495157212004329
7a01ab37bd2729626dcaf96166390315,Not Bird,0.7498017566332538
7a01ab37bd2729626dcaf96166390315,Orange Dance,0.9359801059261915
7a01ab37bd2729626dcaf96166390315,Zzz,0.5625118962338352
7a01ab37bd2729626dcaf96166390315,Angled Silhouette,0.20347587151944416
7a01ab37bd2729626dcaf96166390315,Sugar Cones,0.11619462494882232
7a01ab37bd2729626dcaf96166390315,Object Limits,0.5677835831930338
7a01ab37bd2729626dcaf96166390315,Ramp Up and Can It,0.7543556797684223
7a01ab37bd2729626dcaf96166390315,Stranger Shapes,0.535273136810738
7a01ab37bd2729626dcaf96166390315,Tall and Small,0.7898279755716927
7a01ab37bd2729626dcaf96166390315,Unnecessary,0.8942722503539052
7a01ab37bd2729626dcaf96166390315,Tetromino,0.8360053554122993
8cbfa61cb2b025b16b04a8e470422960,1. One Box,0.5611044712071158
8cbfa61cb2b025b16b04a8e470422960,2. Separated Boxes,0.574627491782556
8cbfa61cb2b025b16b04a8e470422960,3. Rotate a Pyramid,0.42751063250032045
8cbfa61cb2b025b16b04a8e470422960,4. Match Silhouettes,0.4172030883822853
8cbfa61cb2b025b16b04a8e470422960,5. Removing Objects,0.42852716569273325
