task_id,difficulty
1. One Box,-3.8580995844564927
2. Separated Boxes,-2.875960224860173
3. Rotate a Pyramid,-3.868604534711507
4. Match Silhouettes,-3.7007618809063474
5. Removing Objects,-2.887889224625772
6. Stretch a Ramp,-3.2071520894583125
7. Max 2 Boxes,-2.9553625478478978
8. Combine 2 Ramps,-2.0985177336043055
9. Scaling Round Objects,-2.5116254153200446
Square Cross-Sections,-1.535843634379745
45-Degree Rotations,-2.1024480967771364
Bird Fez,-2.0459650795862574
Boxes Obscure Spheres,-1.7387417587671323
Pi Henge,-2.7615974544316906
Pyramids are Strange,-1.5958125728552803
Bear Market,3.126744541519878
Warm Up,-2.7005176665543487
Bull Market,-0.290984598061119
Few Clues,0.1659160487250959
More Than Meets Your Eye,-1.3870524209338266
Not Bird,-1.4553697148860456
Orange Dance,1.38312743242933
Zzz,-1.1144228553068745
Angled Silhouette,-1.6817742991331213
Sugar Cones,-2.0304086779405752
Object Limits,-1.2647620172943612
Ramp Up and Can It,-1.0928831748662362
Stranger Shapes,-0.9579288523200048
Tall and Small,-1.6150943732564929
Unnecessary,-1.245460461444467
Tetromino,-2.490455451599244
