,group,task_id,order,completed_time,actions_completed,p_incorrect,p_abandoned,norm_all_measures
0,4fe25833f555e9903d2bb6bbeec3fbfb,1. One Box,1.0,0.0364,0.57,0.0,5.71,0.0
8,4fe25833f555e9903d2bb6bbeec3fbfb,2. Separated Boxes,2.0,0.0762,1.27,54.01,0.0,0.20427945430577074
16,4fe25833f555e9903d2bb6bbeec3fbfb,3. Rotate a Pyramid,3.0,0.09,1.86,44.3,9.68,0.2049774725757431
24,4fe25833f555e9903d2bb6bbeec3fbfb,4. Match Silhouettes,4.0,0.1073,1.96,30.78,7.14,0.14897421997243235
40,4fe25833f555e9903d2bb6bbeec3fbfb,5. Removing Objects,5.0,0.2265,3.99,53.87,34.62,0.37562182094253244
48,4fe25833f555e9903d2bb6bbeec3fbfb,6. Stretch a Ramp,6.0,0.1342,3.25,37.7,9.52,0.19336220163386886
56,4fe25833f555e9903d2bb6bbeec3fbfb,7. Max 2 Boxes,7.0,0.105,2.25,16.48,10.0,0.10237716290079445
64,4fe25833f555e9903d2bb6bbeec3fbfb,8. Combine 2 Ramps,8.0,0.1415,3.41,12.82,27.78,0.16277948211968002
72,4fe25833f555e9903d2bb6bbeec3fbfb,9. Scaling Round Objects,9.0,0.29,5.73,27.41,42.86,0.32236801984997215
177,4fe25833f555e9903d2bb6bbeec3fbfb,Square Cross-Sections,10.0,0.474,10.25,48.61,54.55,0.5077081299677337
96,4fe25833f555e9903d2bb6bbeec3fbfb,Bird Fez,11.0,1.47,23.8,66.67,80.0,1.0
154,4fe25833f555e9903d2bb6bbeec3fbfb,Pi Henge,12.0,0.87,21.16,37.5,33.33,0.5217351563800947
32,4fe25833f555e9903d2bb6bbeec3fbfb,45-Degree Rotations,13.0,0.88,17.5,0.0,50.0,0.43713822732551766
162,4fe25833f555e9903d2bb6bbeec3fbfb,Pyramids are Strange,14.0,1.385,21.25,25.0,0.0,0.5274290276340643
104,4fe25833f555e9903d2bb6bbeec3fbfb,Boxes Obscure Spheres,15.0,0.0,inf,100.0,100.0,0.7103090751372134
207,4fe25833f555e9903d2bb6bbeec3fbfb,Warm Up,17.0,,,100.0,100.0,0.7976685606640167
80,4fe25833f555e9903d2bb6bbeec3fbfb,Angled Silhouette,18.0,0.0,,100.0,100.0,0.7103090751372134
192,4fe25833f555e9903d2bb6bbeec3fbfb,Sugar Cones,19.0,0.0,inf,100.0,100.0,0.7103090751372134
124,4fe25833f555e9903d2bb6bbeec3fbfb,More Than Meets Your Eye,23.0,0.0,,100.0,100.0,0.7103090751372134
132,4fe25833f555e9903d2bb6bbeec3fbfb,Not Bird,24.0,0.0,,100.0,100.0,0.7103090751372134
214,4fe25833f555e9903d2bb6bbeec3fbfb,Zzz,26.0,0.0,inf,100.0,100.0,0.7103090751372134
112,4fe25833f555e9903d2bb6bbeec3fbfb,Bull Market,27.0,0.0,,100.0,100.0,0.7103090751372134
118,4fe25833f555e9903d2bb6bbeec3fbfb,Few Clues,28.0,0.0,,100.0,100.0,0.7103090751372134
147,4fe25833f555e9903d2bb6bbeec3fbfb,Orange Dance,29.0,0.0,,100.0,100.0,0.7103090751372134
88,4fe25833f555e9903d2bb6bbeec3fbfb,Bear Market,30.0,0.0,inf,100.0,100.0,0.7103090751372134
1,7a01ab37bd2729626dcaf96166390315,1. One Box,1.0,0.0211,0.41,4.32,0.0,0.0
9,7a01ab37bd2729626dcaf96166390315,2. Separated Boxes,2.0,0.0437,0.85,47.87,0.0,0.10800413072356255
17,7a01ab37bd2729626dcaf96166390315,3. Rotate a Pyramid,3.0,0.0581,1.52,25.91,0.0,0.05827878230614392
25,7a01ab37bd2729626dcaf96166390315,4. Match Silhouettes,4.0,0.0592,1.18,23.77,3.7,0.06023333233784853
41,7a01ab37bd2729626dcaf96166390315,5. Removing Objects,5.0,0.1216,2.84,43.42,3.85,0.11786399193960125
49,7a01ab37bd2729626dcaf96166390315,6. Stretch a Ramp,6.0,0.0632,1.55,43.52,0.0,0.10118587588193209
